index,sample,fpl,SWB_2,FWBscore,FWB1_1,FWB1_2,FWB1_5,FWB2_3,FSscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,SAVEHABIT,ENDSMEET,HOUSING,HOUSERANGES,MORTGAGE,SAVINGSRANGES,PRODHAVE_1,PRODHAVE_2,PRODHAVE_3,PRODHAVE_5,PRODUSE_1,VOLATILITY,MATHARDSHIP_3,COLLECT,REJECTED_1,SHOCKS_8,MATERIALISM_3,HEALTH,PPEDUC,EMPLOY,agecat,generation,PPETHM,PPGENDER,PPINCIMP,PPMARIT,Util_cutoff_no_pay,Property taxes Mean,Mortgage interest and charges Mean,"Utilities, fuels, and public services Mean",Telephone services Mean,"Residential phone service, VOIP, and phone cards Mean",Cellular phone service Mean,Health insurance Mean,Education Mean
47,3,4,7,77,6,6,6,2,56,6,6,6,6,2,2,99,2,100,2,1,2,2,1,2,2,1,1,1,2,4,6,9,9,2,2,2,9,2,2,2206,2286,3943,1332,197,1134,3669,1107
48,2,4,0,51,4,4,5,3,44,6,4,2,4,2,2,100,99,100,2,2,2,1,1,2,2,1,1,1,4,3,3,9,7,3,2,3,5,2,2,2055,3598,3932,1450,161,1289,3236,1469
49,2,4,7,48,3,3,4,3,44,6,5,2,3,3,2,5,3,5,2,2,2,2,1,3,2,1,1,1,4,4,4,3,5,3,2,3,7,2,2,2055,3598,3932,1450,161,1289,3236,1469
51,2,4,7,72,5,5,3,2,65,6,5,6,7,2,2,8,0,7,2,2,2,2,1,2,2,1,1,1,4,4,3,3,6,3,2,2,9,4,2,2206,2286,3943,1332,197,1134,3669,1107
52,2,4,8,48,3,3,4,3,50,6,5,6,6,3,2,6,2,6,2,2,1,1,1,3,2,1,1,1,3,5,4,3,3,5,5,2,7,5,2,2206,2286,3943,1332,197,1134,3669,1107
54,2,4,7,51,4,4,4,4,42,6,6,6,5,3,2,8,99,100,2,2,2,1,1,3,2,1,1,1,5,4,4,9,7,3,5,3,4,2,2,3687,2754,4249,1438,289,1149,3566,2370
55,2,4,7,60,5,6,6,3,54,6,5,4,7,2,2,3,2,6,2,1,2,2,1,2,2,1,1,1,3,4,6,9,8,3,2,3,6,5,2,2206,2286,3943,1332,197,1134,3669,1107
57,2,4,8,70,5,6,3,3,65,6,5,6,7,2,2,8,4,6,2,2,2,1,1,2,2,1,1,1,2,5,6,3,6,3,2,2,10,2,2,3687,2754,4249,1438,289,1149,3566,2370
58,2,4,6,71,5,5,2,2,59,6,4,5,6,2,2,8,4,6,2,2,2,1,1,2,2,1,1,1,4,6,5,2,5,4,4,3,10,2,2,1545,2558,4092,1413,197,1216,3444,1143
60,2,4,6,74,6,5,2,2,54,6,6,2,6,2,2,2,2,7,2,1,1,2,1,2,2,1,1,1,4,5,4,9,7,3,2,2,8,2,2,1545,2558,4092,1413,197,1216,3444,1143
